cell_id,lat,lon
19.5_-5.5,19.5,-5.5
19.5_-4.5,19.5,-4.5
19.5_-3.5,19.5,-3.5
19.5_-2.5,19.5,-2.5
19.5_-1.5,19.5,-1.5
19.5_-0.5,19.5,-0.5
19.5_0.5,19.5,0.5
19.5_3.5,19.5,3.5
19.5_4.5,19.5,4.5
19.5_5.5,19.5,5.5
20.5_-6.5,20.5,-6.5
20.5_-5.5,20.5,-5.5
20.5_-4.5,20.5,-4.5
20.5_-3.5,20.5,-3.5
20.5_-2.5,20.5,-2.5
20.5_-1.5,20.5,-1.5
20.5_-0.5,20.5,-0.5
20.5_0.5,20.5,0.5
20.5_1.5,20.5,1.5
20.5_2.5,20.5,2.5
20.5_3.5,20.5,3.5
20.5_4.5,20.5,4.5
20.5_5.5,20.5,5.5
20.5_6.5,20.5,6.5
21.5_-6.5,21.5,-6.5
21.5_-5.5,21.5,-5.5
21.5_-4.5,21.5,-4.5
21.5_-3.5,21.5,-3.5
21.5_-2.5,21.5,-2.5
21.5_-1.5,21.5,-1.5
21.5_-0.5,21.5,-0.5
21.5_0.5,21.5,0.5
21.5_1.5,21.5,1.5
21.5_2.5,21.5,2.5
21.5_3.5,21.5,3.5
21.5_4.5,21.5,4.5
21.5_5.5,21.5,5.5
21.5_6.5,21.5,6.5
21.5_7.5,21.5,7.5
21.5_8.5,21.5,8.5
22.5_-6.5,22.5,-6.5
22.5_-5.5,22.5,-5.5
22.5_-4.5,22.5,-4.5
22.5_-3.5,22.5,-3.5
22.5_-2.5,22.5,-2.5
22.5_-1.5,22.5,-1.5
22.5_-0.5,22.5,-0.5
22.5_0.5,22.5,0.5
22.5_1.5,22.5,1.5
22.5_2.5,22.5,2.5
22.5_3.5,22.5,3.5
22.5_4.5,22.5,4.5
22.5_5.5,22.5,5.5
22.5_6.5,22.5,6.5
22.5_7.5,22.5,7.5
22.5_8.5,22.5,8.5
23.5_-7.5,23.5,-7.5
23.5_-6.5,23.5,-6.5
23.5_-5.5,23.5,-5.5
23.5_-4.5,23.5,-4.5
23.5_-3.5,23.5,-3.5
23.5_-2.5,23.5,-2.5
23.5_-1.5,23.5,-1.5
23.5_-0.5,23.5,-0.5
23.5_0.5,23.5,0.5
23.5_1.5,23.5,1.5
23.5_2.5,23.5,2.5
23.5_3.5,23.5,3.5
23.5_4.5,23.5,4.5
23.5_5.5,23.5,5.5
23.5_6.5,23.5,6.5
23.5_7.5,23.5,7.5
23.5_8.5,23.5,8.5
23.5_9.5,23.5,9.5
24.5_-7.5,24.5,-7.5
24.5_-6.5,24.5,-6.5
24.5_-5.5,24.5,-5.5
24.5_-4.5,24.5,-4.5
24.5_-3.5,24.5,-3.5
24.5_-2.5,24.5,-2.5
24.5_-1.5,24.5,-1.5
24.5_-0.5,24.5,-0.5
24.5_0.5,24.5,0.5
24.5_1.5,24.5,1.5
24.5_2.5,24.5,2.5
24.5_3.5,24.5,3.5
24.5_4.5,24.5,4.5
24.5_5.5,24.5,5.5
24.5_6.5,24.5,6.5
24.5_7.5,24.5,7.5
24.5_8.5,24.5,8.5
24.5_9.5,24.5,9.5
25.5_-7.5,25.5,-7.5
25.5_-6.5,25.5,-6.5
25.5_-5.5,25.5,-5.5
25.5_-4.5,25.5,-4.5
25.5_-3.5,25.5,-3.5
25.5_-2.5,25.5,-2.5
25.5_-1.5,25.5,-1.5
25.5_-0.5,25.5,-0.5
25.5_0.5,25.5,0.5
25.5_1.5,25.5,1.5
25.5_2.5,25.5,2.5
25.5_3.5,25.5,3.5
25.5_4.5,25.5,4.5
25.5_5.5,25.5,5.5
25.5_6.5,25.5,6.5
25.5_7.5,25.5,7.5
25.5_8.5,25.5,8.5
25.5_9.5,25.5,9.5
26.5_-7.5,26.5,-7.5
26.5_-6.5,26.5,-6.5
26.5_-5.5,26.5,-5.5
26.5_-4.5,26.5,-4.5
26.5_-3.5,26.5,-3.5
26.5_-2.5,26.5,-2.5
26.5_-1.5,26.5,-1.5
26.5_-0.5,26.5,-0.5
26.5_0.5,26.5,0.5
26.5_1.5,26.5,1.5
26.5_2.5,26.5,2.5
26.5_3.5,26.5,3.5
26.5_4.5,26.5,4.5
26.5_5.5,26.5,5.5
26.5_6.5,26.5,6.5
26.5_7.5,26.5,7.5
26.5_8.5,26.5,8.5
26.5_9.5,26.5,9.5
27.5_-8.5,27.5,-8.5
27.5_-7.5,27.5,-7.5
27.5_-6.5,27.5,-6.5
27.5_-5.5,27.5,-5.5
27.5_-4.5,27.5,-4.5
27.5_-3.5,27.5,-3.5
27.5_-2.5,27.5,-2.5
27.5_-1.5,27.5,-1.5
27.5_-0.5,27.5,-0.5
27.5_0.5,27.5,0.5
27.5_1.5,27.5,1.5
27.5_2.5,27.5,2.5
27.5_3.5,27.5,3.5
27.5_4.5,27.5,4.5
27.5_5.5,27.5,5.5
27.5_6.5,27.5,6.5
27.5_7.5,27.5,7.5
27.5_8.5,27.5,8.5
27.5_9.5,27.5,9.5
28.5_-8.5,28.5,-8.5
28.5_-7.5,28.5,-7.5
28.5_-6.5,28.5,-6.5
28.5_-5.5,28.5,-5.5
28.5_-4.5,28.5,-4.5
28.5_-3.5,28.5,-3.5
28.5_-2.5,28.5,-2.5
28.5_-1.5,28.5,-1.5
28.5_-0.5,28.5,-0.5
28.5_0.5,28.5,0.5
28.5_1.5,28.5,1.5
28.5_2.5,28.5,2.5
28.5_3.5,28.5,3.5
28.5_4.5,28.5,4.5
28.5_5.5,28.5,5.5
28.5_6.5,28.5,6.5
28.5_7.5,28.5,7.5
28.5_8.5,28.5,8.5
28.5_9.5,28.5,9.5
29.5_-8.5,29.5,-8.5
29.5_-7.5,29.5,-7.5
29.5_-6.5,29.5,-6.5
29.5_-5.5,29.5,-5.5
29.5_-4.5,29.5,-4.5
29.5_-3.5,29.5,-3.5
29.5_-2.5,29.5,-2.5
29.5_-1.5,29.5,-1.5
29.5_-0.5,29.5,-0.5
29.5_0.5,29.5,0.5
29.5_1.5,29.5,1.5
