cell_id,lat,lon,solar_cf_mean,solar_full_load_hours,wind_cf_mean,wind_full_load_hours
19.5_-4.5,19.5,-4.5,0.1236,1076.4,0.3451,3006.1
19.5_-2.5,19.5,-2.5,0.124,1080.1,0.3535,3079.4
19.5_-0.5,19.5,-0.5,0.1224,1066.0,0.3423,2982.0
19.5_3.5,19.5,3.5,0.1316,1146.6,0.2956,2575.2
19.5_5.5,19.5,5.5,0.1307,1138.4,0.3392,2954.9
21.5_-6.5,21.5,-6.5,0.1253,1091.6,0.3337,2907.4
21.5_-4.5,21.5,-4.5,0.1222,1064.3,0.3714,3235.5
21.5_-2.5,21.5,-2.5,0.123,1071.5,0.3647,3176.8
21.5_-0.5,21.5,-0.5,0.1249,1088.1,0.3124,2721.6
21.5_1.5,21.5,1.5,0.1273,1109.0,0.276,2404.4
21.5_3.5,21.5,3.5,0.132,1149.6,0.2509,2185.5
21.5_5.5,21.5,5.5,0.1332,1160.2,0.3409,2970.1
21.5_7.5,21.5,7.5,0.1297,1130.1,0.3364,2930.5
23.5_-6.5,23.5,-6.5,0.1241,1081.2,0.3258,2838.1
23.5_-4.5,23.5,-4.5,0.1214,1057.4,0.3448,3003.6
23.5_-2.5,23.5,-2.5,0.1236,1076.9,0.2798,2437.9
23.5_-0.5,23.5,-0.5,0.1248,1087.3,0.3244,2825.9
23.5_1.5,23.5,1.5,0.1257,1095.5,0.2909,2534.3
23.5_3.5,23.5,3.5,0.1318,1148.3,0.231,2012.8
23.5_5.5,23.5,5.5,0.1354,1179.7,0.1967,1713.6
23.5_7.5,23.5,7.5,0.13,1132.2,0.1736,1512.0
23.5_9.5,23.5,9.5,0.1286,1120.5,0.192,1672.4
25.5_-6.5,25.5,-6.5,0.1248,1087.4,0.3326,2897.4
25.5_-4.5,25.5,-4.5,0.121,1053.9,0.3815,3324.0
25.5_-2.5,25.5,-2.5,0.1223,1065.8,0.3674,3200.5
25.5_-0.5,25.5,-0.5,0.1221,1063.4,0.3408,2969.5
25.5_1.5,25.5,1.5,0.1214,1057.5,0.2963,2581.4
25.5_3.5,25.5,3.5,0.1298,1131.0,0.1816,1582.5
25.5_5.5,25.5,5.5,0.1319,1149.2,0.1371,1194.6
25.5_7.5,25.5,7.5,0.13,1132.3,0.1658,1444.7
25.5_9.5,25.5,9.5,0.1257,1094.9,0.1925,1677.3
27.5_-8.5,27.5,-8.5,0.1304,1135.6,0.3599,3135.1
27.5_-6.5,27.5,-6.5,0.1263,1100.6,0.3158,2751.1
27.5_-4.5,27.5,-4.5,0.122,1063.0,0.3207,2793.9
27.5_-2.5,27.5,-2.5,0.1223,1065.5,0.3262,2842.0
27.5_-0.5,27.5,-0.5,0.1199,1044.3,0.313,2726.7
27.5_1.5,27.5,1.5,0.1234,1075.3,0.4125,3593.7
27.5_3.5,27.5,3.5,0.1285,1119.1,0.4456,3882.3
27.5_5.5,27.5,5.5,0.1283,1117.4,0.3256,2836.4
27.5_7.5,27.5,7.5,0.1264,1100.8,0.2648,2306.8
27.5_9.5,27.5,9.5,0.123,1071.8,0.2804,2443.2
29.5_-8.5,29.5,-8.5,0.131,1141.6,0.131,1141.7
29.5_-6.5,29.5,-6.5,0.1257,1095.2,0.2155,1877.2
29.5_-4.5,29.5,-4.5,0.1234,1074.7,0.2851,2484.2
29.5_-2.5,29.5,-2.5,0.1229,1070.3,0.2629,2290.2
29.5_-0.5,29.5,-0.5,0.1224,1066.0,0.325,2831.1
29.5_1.5,29.5,1.5,0.1227,1068.6,0.3247,2828.4
29.5_3.5,29.5,3.5,0.1266,1102.7,0.2773,2416.1
29.5_5.5,29.5,5.5,0.1266,1103.2,0.271,2360.6
29.5_7.5,29.5,7.5,0.1234,1074.9,0.2681,2335.4
29.5_9.5,29.5,9.5,0.1202,1046.9,0.3067,2672.1
31.5_-6.5,31.5,-6.5,0.1304,1136.0,0.0231,201.4
31.5_-4.5,31.5,-4.5,0.1251,1090.3,0.1166,1016.0
31.5_-2.5,31.5,-2.5,0.1228,1069.5,0.2185,1903.4
31.5_-0.5,31.5,-0.5,0.1218,1061.1,0.2852,2484.8
31.5_1.5,31.5,1.5,0.1242,1082.0,0.2799,2438.6
31.5_3.5,31.5,3.5,0.1268,1104.5,0.2946,2566.2
31.5_5.5,31.5,5.5,0.1249,1088.1,0.2702,2354.0
31.5_7.5,31.5,7.5,0.1217,1060.3,0.2993,2607.4
33.5_-6.5,33.5,-6.5,0.1085,945.0,0.0695,605.9
33.5_-4.5,33.5,-4.5,0.12,1045.5,0.0441,383.9
33.5_-2.5,33.5,-2.5,0.1208,1052.4,0.2666,2322.7
33.5_-0.5,33.5,-0.5,0.1199,1044.9,0.2533,2206.5
33.5_1.5,33.5,1.5,0.1233,1074.0,0.2712,2363.1
33.5_3.5,33.5,3.5,0.1259,1097.1,0.3179,2769.7
33.5_5.5,33.5,5.5,0.1236,1076.7,0.2747,2393.4
33.5_7.5,33.5,7.5,0.12,1045.7,0.2952,2571.9
35.5_-2.5,35.5,-2.5,0.109,949.3,0.3536,3081.0
35.5_-0.5,35.5,-0.5,0.1062,925.6,0.1265,1102.5
35.5_1.5,35.5,1.5,0.1073,934.8,0.1407,1225.8
35.5_3.5,35.5,3.5,0.1129,984.0,0.1906,1660.5
35.5_5.5,35.5,5.5,0.1172,1021.1,0.0958,834.7
35.5_7.5,35.5,7.5,0.1082,943.0,0.133,1158.9
