status,lcoh_usd_per_kg,lcoh_dzd_per_kg,solar_capacity_kw,wind_capacity_kw,electrolyzer_capacity_kw,battery_capacity_kwh,h2_storage_capacity_kg,solar_generation_kwh,wind_generation_kwh,grid_import_kwh,h2_produced_kg,electrolyzer_utilization_pct,cost_solar,cost_wind,cost_electrolyzer,cost_h2_storage,cost_battery,cost_grid,total_cost_usd,solar_full_load_hours,wind_cf_mean,pct_renewable,cell_id,lat,lon
optimal,6.6994,901.07,30.14,19.26,13.39,-0.0,19.6,10111.48,44888.52,0.0,1000.0,46.9,1310.33,3200.22,1376.04,812.85,-0.0,0.0,6699.44,335.5,0.3451,100.0,19.5_-4.5,19.5,-4.5
optimal,6.5689,883.51,21.05,18.83,12.86,-0.0,29.04,7644.08,47355.92,0.0,1000.0,48.84,915.14,3127.98,1321.39,1204.36,-0.0,0.0,6568.87,363.1,0.3535,100.0,19.5_-2.5,19.5,-2.5
optimal,7.5851,1020.2,14.91,17.79,12.87,-0.0,64.13,5213.2,49786.8,0.0,1000.0,48.8,648.03,2955.3,1322.44,2659.36,-0.0,0.0,7585.13,349.7,0.3423,100.0,19.5_-0.5,19.5,-0.5
optimal,8.5454,1149.36,21.23,20.46,14.59,-0.0,65.68,6120.7,48879.3,0.0,1000.0,43.04,923.09,3399.29,1499.38,2723.68,-0.0,0.0,8545.44,288.2,0.2956,100.0,19.5_3.5,19.5,3.5
optimal,8.0619,1084.33,23.83,23.32,16.28,-0.0,35.65,6399.6,48600.4,0.0,1000.0,38.56,1035.99,3874.33,1673.37,1478.22,-0.0,0.0,8061.91,268.5,0.3392,100.0,19.5_5.5,19.5,5.5
optimal,6.556,881.78,14.57,21.77,13.75,-0.0,21.53,4824.11,50175.89,0.0,1000.0,45.67,633.57,3616.59,1413.04,892.76,-0.0,0.0,6555.95,331.0,0.3337,100.0,21.5_-6.5,21.5,-6.5
optimal,6.7606,909.3,20.66,21.77,13.28,-0.0,21.25,5796.22,49203.78,0.0,1000.0,47.29,897.96,3616.83,1364.56,881.27,-0.0,0.0,6760.62,280.6,0.3714,100.0,21.5_-4.5,21.5,-4.5
optimal,6.8144,916.53,22.56,21.79,14.49,-0.0,17.47,6683.58,48316.42,0.0,1000.0,43.33,980.64,3619.97,1489.42,724.33,-0.0,0.0,6814.36,296.3,0.3647,100.0,21.5_-2.5,21.5,-2.5
optimal,6.9259,931.53,23.65,21.43,14.43,-0.0,20.6,7486.28,47513.72,0.0,1000.0,43.52,1028.22,3560.92,1482.64,854.13,-0.0,0.0,6925.91,316.5,0.3124,100.0,21.5_-0.5,21.5,-0.5
optimal,7.0851,952.95,24.85,20.91,15.08,-0.0,23.66,8736.2,46263.8,0.0,1000.0,41.65,1080.28,3474.36,1549.52,980.95,-0.0,0.0,7085.11,351.6,0.276,100.0,21.5_1.5,21.5,1.5
